starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 14 09:16:54 2012	1342237614	0	6	6	6
Sat Jul 14 09:19:28 2012	1342237768	0	6	6	6
Sat Jul 14 09:21:32 2012	1342237892	0	6	6	6
Sat Jul 14 09:19:22 2012	1342237762	0	6	6	6
Sat Jul 14 09:18:44 2012	1342237724	0	6	6	6
Sat Jul 14 09:20:29 2012	1342237829	0	6	6	6
Sat Jul 14 09:22:37 2012	1342237957	0	6	6	6
Sat Jul 14 09:22:12 2012	1342237932	0	6	6	6
Sat Jul 14 09:19:30 2012	1342237770	0	6	6	6
Sat Jul 14 09:22:02 2012	1342237922	0	6	6	6
Sat Jul 14 09:18:27 2012	1342237707	0	6	6	6
Sat Jul 14 09:20:37 2012	1342237837	0	6	6	6
Sat Jul 14 09:17:27 2012	1342237647	0	6	6	6
Sat Jul 14 09:22:37 2012	1342237957	0	6	6	6
Sat Jul 14 09:20:35 2012	1342237835	0	6	6	6
Sat Jul 14 09:18:49 2012	1342237729	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
Sat Jul 14 09:16:51 2012	1342237611	0	6	6	6
Sat Jul 14 09:18:46 2012	1342237726	0	6	6	6
Sat Jul 14 09:16:54 2012	1342237614	0	6	6	6
Sat Jul 14 09:20:52 2012	1342237852	0	6	6	6
Sat Jul 14 09:22:00 2012	1342237920	0	6	6	6
Sat Jul 14 09:21:51 2012	1342237911	0	6	6	6
Sat Jul 14 09:20:25 2012	1342237825	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:20:38 2012	1342237838	0	6	6	6
Sat Jul 14 09:21:32 2012	1342237892	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:17:42 2012	1342237662	0	6	6	6
Sat Jul 14 09:20:37 2012	1342237837	0	6	6	6
Sat Jul 14 09:22:02 2012	1342237922	0	6	6	6
Sat Jul 14 09:18:37 2012	1342237717	0	6	6	6
Sat Jul 14 09:20:10 2012	1342237810	0	6	6	6
Sat Jul 14 09:19:00 2012	1342237740	0	6	6	6
Sat Jul 14 09:20:05 2012	1342237805	0	6	6	6
Sat Jul 14 09:21:01 2012	1342237861	0	6	6	6
Sat Jul 14 09:21:57 2012	1342237917	0	6	6	6
Sat Jul 14 09:19:19 2012	1342237759	0	6	6	6
Sat Jul 14 09:18:59 2012	1342237739	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:18:22 2012	1342237702	0	6	6	6
Sat Jul 14 09:22:04 2012	1342237924	0	6	6	6
Sat Jul 14 09:22:28 2012	1342237948	0	6	6	6
Sat Jul 14 09:17:26 2012	1342237646	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:20:08 2012	1342237808	0	6	6	6
Sat Jul 14 09:21:55 2012	1342237915	0	6	6	6
Sat Jul 14 09:19:02 2012	1342237742	0	6	6	6
Sat Jul 14 09:18:54 2012	1342237734	0	6	6	6
Sat Jul 14 09:20:16 2012	1342237816	0	6	6	6
Sat Jul 14 09:18:43 2012	1342237723	0	6	6	6
Sat Jul 14 09:20:37 2012	1342237837	0	6	6	6
Sat Jul 14 09:21:31 2012	1342237891	0	6	6	6
Sat Jul 14 09:16:42 2012	1342237602	0	6	6	6
Sat Jul 14 09:21:31 2012	1342237891	0	6	6	6
Sat Jul 14 09:16:42 2012	1342237602	0	6	6	6
Sat Jul 14 09:19:52 2012	1342237792	0	6	6	6
